word,level,sentence,word_mean
information,a1,Information.,"facts about a situation , person , event , etc.:"
ingredient,b1,"It was the first thing I learned to make when I was living in Paris because the ingredients are really, really cheap.",a food that is used with other foods in the preparation of a particular dish :
initiative,b2,Initiative.,a new plan or process to achieve something or solve a problem :
injury,a2,"No injuries. | All right, but you should know that sudden, serious brain injury causes the victim to bite down hard.",physical harm or damage to someone's body caused by an accident or an attack :
inquiry,b2,Inquiry.,(the process of asking ) a question :
insect,a2,But my mother looked at him like an insect. | Insects.,"a type of very small animal with six legs , a body divided into three parts and usually two pairs of wings , or, more generally , any similar very small animal :"
instance,b2,For instance?,"a particular situation , event , or fact , especially an example of something that happens generally :"
institute,b2,"Captioning performed by the national captioning institute, inc.","an organization where people do a particular type of scientific , educational , or social work , or the buildings that it uses:"
institution,b2,"Hello, I'm Bob Ballard from the Woods Hole Oceanographic Institution.","a large and important organization , such as a university or bank :"
instruction,a2,Request instructions.,"advice and information about how to do or use something, often written in a book or on the side of a container :"
instructor,a2,Instructor!,a person whose job is to teach people a practical skill :
instrument,a2,Instruments. | What instrument?,"an object , such as a piano , guitar , or drum , that is played to produce musical sounds :"
insurance,b2,Insurance.,"an agreement in which you pay a company money and they pay your costs if you have an accident , injury , etc.:"
intelligence,b1,Intelligence.,"the ability to learn , understand , and make judgments or have opinions that are based on reason :"
intention,b1,What is your intention? | What are your intentions?,something that you want and plan to do:
interest,a1,With interest. | It interests me.,the feeling of wanting to give your attention to something or of wanting to be involved with and to discover more about something:
internet,a1,Internet.,the large system of connected computers around the world that allows people to share information and communicate with each other:
interview,a1,No interviews. | This interview is over.,a meeting in which someone asks you questions to see if you are suitable for a job or course :
introduction,a2,I'll do the introduction.,an occasion when something is put into use or brought to a place for the first time :
invention,a2,What invention?,"something that has never been made before, or the process of creating something that has never been made before:"
investigation,b2,Federal Bureau of Investigation. | Remington Steele Investigations.,"the act or process of examining a crime , problem , statement , etc. carefully , especially to discover the truth :"
investment,b2,It's an investment.,"the act of putting money , effort , time , etc. into something to make a profit or get an advantage , or the money , effort , time , etc. used to do this:"
invitation,a2,Is that an invitation?,the act of inviting someone to go somewhere or do something:
iron,b1,Iron.,"a common , strong , greyish-coloured metal that is a chemical element . It is used in making steel :"
island,a1,Welcome to Fantasy Island. | Cayman Islands.,a piece of land completely surrounded by water :
issue,b1,That's not the issue.,a subject or problem that people are thinking and talking about:
item,a2,Please remove any metallic items you're carrying. | Next item.,something that is part of a list or group of things:
jacket,a1,Nice jacket.,a short coat :
jam,a2,James. | Ram Jam!,"a sweet , soft food made by cooking fruit with sugar to preserve it. It is eaten on bread :"
January,a1,January.,"the first month of the year , after December and before February :"
jazz,a2,Jazz,"a type of modern music originally developed by African-American musicians , with a rhythm in which the strong notes often come before the beat . Jazz is usually improvised (= invented as it is played ) :"
jeans,a1,Jeans. | Jean.,"trousers made of denim (= strong blue cotton cloth ) that are worn informally : | a short coat made of denim (= a thick , strong cotton cloth , used especially for making jeans ) :"
