fit,Fit as a fiddle And ready for love,exact,to be the right size or shape to go into a particular space :
command,Your wish is my command.,exact,"an order , especially one given by a soldier :"
legs,What has four legs and is always ready to travel?,exact,one of the parts of the body of a human or animal that is used for standing or walking :
one's,No one's going to hurt you.,exact,the 19th letter of the English alphabet
steal,"You steal from me, you're dead.",exact,to take something without the permission or knowledge of the owner and keep it:
inspector,"How do you do, Inspector?",exact,someone whose job is to officially inspect something:
cup,Would you like a cup of coffee?,exact,"a small , round container , often with a handle , used for drinking tea , coffee , etc., or the drink that it contains :"
upstairs,"Come on, let's go upstairs.",exact,towards or on the highest floor or floors of a building :
raise,"Raise your right hand, please.",exact,to lift something to a higher position :
address,I'll give you the address.,exact,"the number of the house , name of the road , and name of the town where a person lives or works , and where letters can be sent :"
main,Go back to the main stairwell.,exact,"larger , more important , or having more influence than others of the same type :"
waste,This is a waste of time.,exact,"an unnecessary or wrong use of money , substances , time , energy , abilities , etc.:"
lawyer,I want to call my lawyer.,exact,someone whose job is to give advice to people about the law and speak for them in court :
lock,Why did you lock the door?,exact,a device that prevents something such as a door from being opened and can only be opened with a key :
liked,He really liked the kid.,exact,past simple and past participle of like
bunch,"Boy, I sure heard a bunch about you.",exact,a number of things of the same type fastened together or in a close group :
flight,Did you have a good flight?,exact,a journey in an aircraft :
cat,Look what the cat dragged in.,exact,"a small animal with fur , four legs , a tail , and claws , usually kept as a pet or for catching mice :"
horses,The horses are at the gate.,exact,horse races where you try to win money by correctly guessing which horse will win :
witness,The witness may step down.,exact,"a person who sees an event happening , especially a crime or an accident :"
starting,We're starting our approach.,exact,happening or used at the beginning of a process :
absolutely,Absolutely out of the question.,exact,completely :
according,Everything's going according to plan.,exact,present participle of accord
hole,Bogs spent a week in the hole.,exact,"an empty space in an object , usually with an opening to the object's surface , or an opening that goes completely through an object :"
cool,We're gonna be cool.,exact,slightly cold :
states,"Ladies and gentlemen, the President of the United States.",exact,used to refer to the US:
fuckin,Don't you fuckin' look at me!,exact,
played,"Boy, the way Glenn Miller played",exact,past simple and past participle of play
nine,"One, two, three, four, five, six, seven, eight, nine, ten.",exact,the number 9:
beauty,That's the beauty of it.,exact,"the quality of being pleasing and attractive , especially to look at:"
experience,You are about to experience the awe and mystery which reaches from the inner mind to...,exact,"(the process of getting) knowledge or skill from doing, seeing , or feeling things:"
would've,You would've been a nicer person.,exact,contraction of would have:
passed,He passed away two weeks ago.,exact,past simple and past participle of pass
